name,datetime (utc timezone),fan_count
bnk48official.music,2018-09-30 22:00:00,262077
bnk48official.kaimook,2018-09-30 22:00:00,247811
bnk48official.kaew,2018-09-30 22:00:00,216415
bnk48official.namneung,2018-09-30 22:00:00,176673
bnk48official.mewnich,2018-09-30 22:00:00,176103
bnk48official.tarwaan,2018-09-30 22:00:00,169434
bnk48official.pupe,2018-09-30 22:00:00,167572
bnk48official.satchan,2018-09-30 22:00:00,163489
bnk48official.natherine,2018-09-30 22:00:00,160161
bnk48official.jan,2018-09-30 22:00:00,151539
bnk48official.namsai,2018-09-30 22:00:00,133996
bnk48official.jane,2018-09-30 22:00:00,124060
bnk48official.fond,2018-09-30 22:00:00,111286
bnk48official.ratah,2018-09-30 22:00:00,110350
bnk48official.june,2018-09-30 22:00:00,110173
bnk48official.mind,2018-09-30 22:00:00,106684
bnk48official.miori,2018-09-30 22:00:00,105175
bnk48official.korn,2018-09-30 22:00:00,104466
bnk48official.maysa,2018-09-30 22:00:00,98657
bnk48official.wee,2018-09-30 22:00:00,89269
bnk48official.nink,2018-09-30 22:00:00,84457
bnk48official.jaa,2018-09-30 22:00:00,84038
bnk48official.piam,2018-09-30 22:00:00,80643
bnk48official.jib,2018-09-30 22:00:00,79810
bnk48official.phukkhom,2018-09-30 22:00:00,76304
bnk48official.izutarina,2018-09-30 22:00:00,75641
bnk48official.new,2018-09-30 22:00:00,68415
bnk48official.bamboo,2018-09-30 22:00:00,65972
bnk48official.minmin,2018-09-30 22:00:00,58012
bnk48official.kate,2018-09-30 22:00:00,56886
bnk48official.cake,2018-09-30 22:00:00,56509
bnk48official.view,2018-09-30 22:00:00,51268
bnk48official.panda,2018-09-30 22:00:00,49642
bnk48official.gygee,2018-09-30 22:00:00,47934
pakwan.bnk48official,2018-09-30 22:00:00,47150
bnk48official.kheng,2018-09-30 22:00:00,45037
bnk48official.myyu,2018-09-30 22:00:00,43885
bnk48official.stang,2018-09-30 22:00:00,42654
bnk48official.oom,2018-09-30 22:00:00,41524
bnk48official.niky,2018-09-30 22:00:00,40887
bnk48official.maira,2018-09-30 22:00:00,40778
bnk48official.aom,2018-09-30 22:00:00,40268
bnk48official.faii,2018-09-30 22:00:00,39138
bnk48official.deenee,2018-09-30 22:00:00,30737
bnk48official.khamin,2018-09-30 22:00:00,28834
bnk48official.fifa,2018-09-30 22:00:00,26634
bnk48official.nine,2018-09-30 22:00:00,25824
bnk48official.cherprang,2018-09-30 21:00:00,548478
bnk48official.pun,2018-09-30 21:00:00,547089
bnk48official.orn,2018-09-30 21:00:00,346772
bnk48official.jennis,2018-09-30 21:00:00,274407
bnk48official.noey,2018-09-30 21:00:00,273516
bnk48official.mobile,2018-09-30 21:00:00,270678
bnk48official.music,2018-09-30 21:00:00,262071
bnk48official.kaimook,2018-09-30 21:00:00,247808
bnk48official.kaew,2018-09-30 21:00:00,216410
bnk48official.namneung,2018-09-30 21:00:00,176667
bnk48official.mewnich,2018-09-30 21:00:00,176098
bnk48official.tarwaan,2018-09-30 21:00:00,169433
bnk48official.pupe,2018-09-30 21:00:00,167570
bnk48official.satchan,2018-09-30 21:00:00,163487
bnk48official.natherine,2018-09-30 21:00:00,160152
bnk48official.jan,2018-09-30 21:00:00,151538
bnk48official.namsai,2018-09-30 21:00:00,133993
bnk48official.jane,2018-09-30 21:00:00,124059
bnk48official.fond,2018-09-30 21:00:00,111284
bnk48official.ratah,2018-09-30 21:00:00,110346
bnk48official.june,2018-09-30 21:00:00,110167
bnk48official.mind,2018-09-30 21:00:00,106683
bnk48official.miori,2018-09-30 21:00:00,105175
bnk48official.korn,2018-09-30 21:00:00,104465
bnk48official.maysa,2018-09-30 21:00:00,98657
bnk48official.wee,2018-09-30 21:00:00,89264
bnk48official.nink,2018-09-30 21:00:00,84456
bnk48official.jaa,2018-09-30 21:00:00,84038
bnk48official.piam,2018-09-30 21:00:00,80642
bnk48official.jib,2018-09-30 21:00:00,79808
bnk48official.phukkhom,2018-09-30 21:00:00,76298
bnk48official.izutarina,2018-09-30 21:00:00,75640
bnk48official.new,2018-09-30 21:00:00,68414
bnk48official.bamboo,2018-09-30 21:00:00,65972
bnk48official.minmin,2018-09-30 21:00:00,58011
bnk48official.kate,2018-09-30 21:00:00,56884
bnk48official.cake,2018-09-30 21:00:00,56507
bnk48official.view,2018-09-30 21:00:00,51267
bnk48official.panda,2018-09-30 21:00:00,49640
bnk48official.gygee,2018-09-30 21:00:00,47932
pakwan.bnk48official,2018-09-30 21:00:00,47149
bnk48official.kheng,2018-09-30 21:00:00,45037
bnk48official.myyu,2018-09-30 21:00:00,43885
bnk48official.stang,2018-09-30 21:00:00,42652
bnk48official.oom,2018-09-30 21:00:00,41524
bnk48official.niky,2018-09-30 21:00:00,40887
bnk48official.maira,2018-09-30 21:00:00,40776
bnk48official.aom,2018-09-30 21:00:00,40266
bnk48official.faii,2018-09-30 21:00:00,39136
bnk48official.deenee,2018-09-30 21:00:00,30736
bnk48official.khamin,2018-09-30 21:00:00,28834
bnk48official.fifa,2018-09-30 21:00:00,26632
bnk48official.nine,2018-09-30 21:00:00,25823
bnk48official.cherprang,2018-09-30 20:00:00,548475
bnk48official.pun,2018-09-30 20:00:00,547081
bnk48official.orn,2018-09-30 20:00:00,346766
bnk48official.jennis,2018-09-30 20:00:00,274401
bnk48official.noey,2018-09-30 20:00:00,273513
bnk48official.mobile,2018-09-30 20:00:00,270672
bnk48official.music,2018-09-30 20:00:00,262063
bnk48official.kaimook,2018-09-30 20:00:00,247804
bnk48official.kaew,2018-09-30 20:00:00,216408
bnk48official.namneung,2018-09-30 20:00:00,176663
bnk48official.mewnich,2018-09-30 20:00:00,176093
bnk48official.tarwaan,2018-09-30 20:00:00,169430
bnk48official.pupe,2018-09-30 20:00:00,167570
bnk48official.satchan,2018-09-30 20:00:00,163484
bnk48official.natherine,2018-09-30 20:00:00,160143
bnk48official.jan,2018-09-30 20:00:00,151538
bnk48official.namsai,2018-09-30 20:00:00,133990
bnk48official.jane,2018-09-30 20:00:00,124054
bnk48official.fond,2018-09-30 20:00:00,111278
bnk48official.ratah,2018-09-30 20:00:00,110342
bnk48official.june,2018-09-30 20:00:00,110163
bnk48official.mind,2018-09-30 20:00:00,106683
bnk48official.miori,2018-09-30 20:00:00,105174
bnk48official.korn,2018-09-30 20:00:00,104462
bnk48official.maysa,2018-09-30 20:00:00,98657
bnk48official.wee,2018-09-30 20:00:00,89255
bnk48official.nink,2018-09-30 20:00:00,84456
bnk48official.jaa,2018-09-30 20:00:00,84037
